UTM_X	UTM_Y	GDP值
381472.872583	3493344.116571	8.499434
382479.757912	3493089.906386	10.676814
383486.626652	3492835.700197	12.694649
384493.478819	3492581.497980	9.071145
385500.314430	3492327.299712	8.811329
386507.133502	3492073.105370	78.678734
387513.936051	3491818.914931	9.440907
388520.722095	3491564.728370	14.673083
389527.491649	3491310.545665	14.791319
390534.244730	3491056.366791	24.192549
391540.981355	3490802.191727	6.194822
392547.701540	3490548.020448	109.580505
393554.405303	3490293.852931	3.828919
345930.255264	3501378.239689	905.967102
346937.710639	3501123.871264	1866.207520
347945.148831	3500869.507628	171.391022
348952.569856	3500615.148757	189.634720
349959.973731	3500360.794628	81.759956
350967.360472	3500106.445218	119.149857
351974.730097	3499852.100504	124.309456
352982.082621	3499597.760463	70.169945
353989.418062	3499343.425070	59.787888
354996.736436	3499089.094303	66.768990
356004.037759	3498834.768139	407.526733
357011.322049	3498580.446554	31.444948
358018.589322	3498326.129524	28.119312
359025.839595	3498071.817028	41.084476
360033.072884	3497817.509040	42.990894
361040.289206	3497563.205539	34.998928
362047.488578	3497308.906500	21.390396
363054.671016	3497054.611900	5.467395
364061.836536	3496800.321716	4.049682
365068.985157	3496546.035925	9.655625
366076.116894	3496291.754504	10.689428
367083.231763	3496037.477428	0.871771
368090.329782	3495783.204675	1.386780
369097.410967	3495528.936221	1.855968
370104.475335	3495274.672044	19.226406
371111.522903	3495020.412119	141.804749
372118.553686	3494766.156423	81.290268
373125.567702	3494511.904934	2.063610
374132.564968	3494257.657627	1.442732
375139.545499	3494003.414479	7.306297
376146.509313	3493749.175468	22.929241
377153.456426	3493494.940569	5.004727
378160.386855	3493240.709759	3.316566
379167.300617	3492986.483015	4.468835
380174.197727	3492732.260314	5.495027
381181.078203	3492478.041631	4.229550
382187.942062	3492223.826945	6.298336
383194.789319	3491969.616231	9.109669
384201.619993	3491715.409466	9.086600
385208.434098	3491461.206627	8.459935
386215.231652	3491207.007690	8.776578
387222.012672	3490952.812632	11.579985
388228.777173	3490698.621430	27.741875
389235.525174	3490444.434060	38.344624
390242.256689	3490190.250498	10.716315
391248.971737	3489936.070722	298.598328
392255.670333	3489681.894708	133.356461
393262.352494	3489427.722433	8.641356
346646.654979	3500257.912352	2415.771484
347654.072098	3500003.545022	1878.875732
348661.472039	3499749.182434	200.903137
349668.854818	3499494.824564	42.443802
350676.220451	3499240.471390	61.867676
351683.568956	3498986.122889	98.220833
352690.900348	3498731.779036	255.460571
353698.214645	3498477.439809	75.212677
354705.511863	3498223.105184	47.587185
355712.792019	3497968.775138	29.142845
356720.055129	3497714.449648	31.887159
357727.301211	3497460.128690	38.744862
358734.530280	3497205.812242	34.920162
359741.742354	3496951.500279	50.208378
360748.937448	3496697.192779	46.000782
361756.115581	3496442.889718	23.206543
362763.276767	3496188.591073	8.538738
363770.421025	3495934.296820	9.604672
364777.548371	3495680.006937	12.137375
365784.658820	3495425.721400	270.654724
366791.752391	3495171.440185	17.516422
367798.829099	3494917.163269	2.095734
368805.888962	3494662.890630	3.762056
369812.931995	3494408.622243	8.480088
370819.958215	3494154.358085	204.307495
371826.967640	3493900.098134	6.405394
372833.960286	3493645.842365	14.662747
373840.936169	3493391.590755	16.096277
374847.895306	3493137.343281	13.854383
375854.837713	3492883.099920	26.882702
376861.763408	3492628.860648	6.666597
377868.672407	3492374.625442	4.410004
378875.564727	3492120.394278	3.239143
379882.440383	3491866.167134	5.850879
380889.299393	3491611.943985	3.775337
381896.141774	3491357.724809	5.604017
382902.967542	3491103.509582	7.303544
383909.776713	3490849.298281	8.333630
384916.569305	3490595.090882	7.224483
385923.345333	3490340.887362	10.311378
386930.104815	3490086.687697	13.302772
387936.847768	3489832.491865	43.678375
388943.574207	3489578.299842	1354.299561
389950.284149	3489324.111604	79.855911
390956.977611	3489069.927128	45.227692
391963.654610	3488815.746391	285.066345
392970.315162	3488561.569369	16.026045
350385.096244	3498374.474489	202.307861
351392.423621	3498120.122211	63.714664
352399.733873	3497865.774559	82.558823
353407.027019	3497611.431508	250.434616
354414.303073	3497357.093037	434.745178
355421.562053	3497102.759122	89.721283
356428.803976	3496848.429738	36.789131
357436.028858	3496594.104864	41.915962
358443.236716	3496339.784475	69.143196
359450.427567	3496085.468549	73.189217
360457.601426	3495831.157062	62.961742
361464.758311	3495576.849990	26.716825
362471.898239	3495322.547312	19.354307
363479.021226	3495068.249002	7.751552
364486.127288	3494813.955038	28.512917
365493.216443	3494559.665397	33.648060
366500.288707	3494305.380054	24.454393
367507.344097	3494051.098988	18.352436
368514.382629	3493796.822174	3.288051
369521.404319	3493542.549590	44.415871
370528.409186	3493288.281211	983.452454
371535.397244	3493034.017015	25.014400
372542.368511	3492779.756979	26.674820
373549.323004	3492525.501078	38.111454
374556.260739	3492271.249289	33.046051
375563.181732	3492017.001590	27.269423
376570.086001	3491762.757957	11.541632
377576.973562	3491508.518366	4.286770
378583.844432	3491254.282795	4.378983
379590.698626	3491000.051219	4.668883
380597.536163	3490745.823616	8.532830
381604.357058	3490491.599961	7.194929
382611.161328	3490237.380233	4.880033
383617.948990	3489983.164407	8.429525
384624.720060	3489728.952460	35.011021
385631.474555	3489474.744368	10.416142
386638.212492	3489220.540109	15.909256
387644.933887	3488966.339659	56.716667
388651.638757	3488712.142994	99.381905
389658.327118	3488457.950091	68.669357
390664.998987	3488203.760927	10.808150
