UTM_X	UTM_Y	GDP值
515552.421323	4502097.665025	0.430427
516595.322930	4501901.906332	0.583542
517638.220307	4501706.185083	1.009288
518681.113474	4501510.501258	0.617211
519724.002446	4501314.854836	1.030514
520766.887243	4501119.245796	2.740377
521809.767882	4500923.674116	0.264084
522852.644380	4500728.139777	23.516644
524938.385026	4500337.183035	0.049263
525981.249209	4500141.760591	0.177748
527024.109323	4499946.375403	0.059519
528066.965384	4499751.027451	0.120368
529109.817412	4499555.716713	0.361536
530152.665423	4499360.443170	0.384132
531195.509435	4499165.206799	0.483075
532238.349467	4498970.007580	0.451920
533281.185535	4498774.845493	0.723072
534324.017658	4498579.720516	0.017575
535366.845852	4498384.632628	0.023802
536409.670137	4498189.581808	0.010952
537452.490530	4497994.568036	0.009893
466293.746643	4510479.059910	0.502133
467336.857921	4510281.508113	0.248556
468379.964128	4510083.994713	0.447679
469423.065282	4509886.519690	3.297292
470466.161400	4509689.083021	0.297129
471509.252501	4509491.684687	0.016484
472552.338601	4509294.324666	0.009401
508014.416840	4502606.731668	0.004689
509057.339053	4502410.699486	0.043760
510100.256901	4502214.704868	0.123023
511143.170403	4502018.747791	0.602560
512186.079575	4501822.828236	0.488650
513228.984437	4501626.946180	0.299600
514271.885005	4501431.101604	0.296504
515314.781297	4501235.294486	0.160515
516357.673331	4501039.524806	0.165704
517400.561125	4500843.792543	0.404217
518443.444696	4500648.097675	0.948112
519486.324062	4500452.440182	1.502403
520529.199240	4500256.820044	3.648584
521572.070250	4500061.237238	5.518415
522614.937107	4499865.691745	1.171932
523657.799830	4499670.183543	0.408688
524700.658437	4499474.712611	2.610257
525743.512945	4499279.278930	0.421792
526786.363372	4499083.882476	0.677880
527829.209736	4498888.523231	1.742640
528872.052054	4498693.201173	0.316344
529914.890344	4498497.916280	0.100427
530957.724625	4498302.668533	0.160683
532000.554913	4498107.457910	0.193321
533043.381226	4497912.284390	0.015064
534086.203583	4497717.147953	0.011901
536171.836496	4497326.986242	0.004946
448323.015961	4512981.603312	0.037660
466056.548568	4509617.167799	0.316344
467099.650799	4509419.606335	0.819249
468142.747947	4509222.083240	0.469003
469185.840030	4509024.598493	24.672928
