地址	城市	lat_transformed	lon_transformed	Price
上海市杨浦区民庆家园	上海市	358725.85593057546	3466367.150532916	72170.0
上海市杨浦区体院小区	上海市	358925.9237056135	3465474.44255465	55284.0
上海市杨浦区兴浦新村	上海市	359762.3887754878	3467842.344000434	43658.0
上海市杨浦区长海一村	上海市	359756.5889822595	3465282.2995583527	54317.0
上海市杨浦区椰泰公寓	上海市	358572.18571721425	3464964.1632522107	65431.0
上海市杨浦区民星一村	上海市	360778.33238828933	3465519.65394529	43824.0
上海市杨浦区盛世豪园(一期)	上海市	358586.8843142531	3465988.8873716528	82446.0
上海市杨浦区星云苑	上海市	360888.9539972448	3465099.359157179	75451.0
上海市杨浦区梅林小区	上海市	360730.07235365734	3464930.0442671296	53985.0
上海市杨浦区凯城景庭园	上海市	358389.0715739571	3464964.0261658663	77822.0
上海市杨浦区翔殷路350号	上海市	360502.2685731069	3464805.5522628305	41184.0
上海市杨浦区中原路60弄	上海市	359938.1066141242	3465411.5232473398	62995.0
上海市杨浦区民星路410号	上海市	360405.8610811868	3465311.9024627386	44686.0
上海市杨浦区开鲁路11号	上海市	360942.0544652641	3466736.9594119093	43600.0
上海市杨浦区殷行路311号	上海市	360611.14953495166	3467119.4688765537	55398.0
上海市杨浦区开鲁路7号	上海市	360958.27677740564	3466736.787465876	41448.0
上海市杨浦区华国家园	上海市	358254.7025899719	3465534.78516846	69952.0
上海市杨浦区凤六新苑	上海市	358395.4918000601	3462310.40471591	79420.0
上海市杨浦区双阳路490弄	上海市	359705.3675694986	3462147.8770521963	64750.0
上海市杨浦区延吉中路117弄	上海市	360146.41301822383	3462217.8913893295	56684.0
上海市杨浦区控江一村	上海市	359652.9622054923	3461877.360510896	78503.0
上海市杨浦区韵都城	上海市	361173.4072100787	3462764.7014474967	80602.0
上海市杨浦区控江路802弄	上海市	360241.1174342277	3462179.227297267	58647.0
上海市杨浦区万顺公寓	上海市	359127.8956850526	3461731.0344576077	63277.0
上海市杨浦区敦化路4弄	上海市	360687.28747475124	3462556.9797784057	46467.0
上海市杨浦区控江路764弄	上海市	360409.25105787755	3462197.8612633706	52908.0
上海市杨浦区控江路740弄	上海市	360492.51184426737	3462290.9611966987	56988.0
上海市杨浦区图们路19号	上海市	361439.39218547696	3462869.340379577	46444.0
上海市杨浦区控江路34号	上海市	361476.70285019267	3462890.3260250357	53032.0
上海市杨浦区控江路1456号	上海市	358998.7724779701	3461412.31485992	59829.0
上海市杨浦区控江路652弄	上海市	360677.513290633	3462424.1019686954	56117.0
上海市杨浦区凤城一村	上海市	358564.04999236367	3461427.483038959	64758.0
上海市杨浦区延吉一村	上海市	360420.45605356904	3462337.4839000744	61177.0
上海市杨浦区延吉东路5弄	上海市	361003.11706102686	3463570.944225978	48813.0
上海市杨浦区控江路1438号	上海市	359198.87076463265	3461515.548250168	52521.0
