地址	城市	lat_transformed	lon_transformed	Price
北京市朝阳区山水文园一期	北京市	454095.25149208	4413062.791164957	84352.0
北京市朝阳区双龙南里	北京市	455204.5016268759	4413325.075176032	47376.0
北京市朝阳区南新园	北京市	454532.25821680244	4413237.821787777	50937.0
北京市朝阳区美景东方	北京市	454131.51829977793	4413289.658672029	68463.0
北京市昌平区民园小区	北京市	437514.5009398697	4443349.817240491	33377.0
北京市昌平区玫瑰园	北京市	437105.4864324494	4445636.150708619	79417.0
北京市昌平区线材厂宿舍	北京市	437840.1912549759	4441486.180041497	32942.0
北京市昌平区五福家园	北京市	436950.8358871957	4444056.387185765	35488.0
北京市昌平区信苑小区	北京市	439513.9124738225	4440383.884054303	33770.0
北京市昌平区善缘嘉园	北京市	441799.5662669487	4446558.269275621	31475.0
北京市昌平区昌艺园小区	北京市	439002.6480590597	4439069.025615681	39934.0
北京市昌平区北街家园四区	北京市	436708.76188478665	4446178.290548508	35880.0
北京市昌平区三水青清庄园三区	北京市	437960.681903623	4443383.2281989	64579.0
北京市昌平区中海尚湖世家	北京市	438730.54871550447	4443415.080175735	42297.0
北京市昌平区北街家园七区	北京市	436345.0765656619	4445916.499544876	38746.0
北京市昌平区沙河中心小学家属楼	北京市	437545.87730223645	4441684.8593854895	28493.0
北京市昌平区碧水庄园	北京市	439156.8002545043	4441046.294383531	84753.0
北京市昌平区石油宿舍	北京市	437608.26891043613	4442665.8916119775	30973.0
北京市昌平区沙河镇南一村	北京市	436294.78281368146	4440625.521526563	29222.0
北京市昌平区顺驰林溪一期	北京市	440788.40840792394	4446872.695418734	32757.0
北京市昌平区沙河医院家属院	北京市	437670.6358717469	4441699.225543853	33048.0
北京市昌平区沙河展思门	北京市	438236.83465380035	4442772.455538355	32912.0
北京市昌平区北街家园二区	北京市	437039.8731827305	4446279.388106497	41380.0
北京市昌平区北街家园三区	北京市	436885.28582653543	4446215.870810141	35474.0
北京市昌平区沙河生产宿舍	北京市	435910.74874905153	4437736.180119386	56779.0
北京市昌平区水工机械厂宿舍	北京市	437050.83013771864	4442558.855669294	34281.0
北京市昌平区三水青清庄园一区	北京市	438074.0204421446	4443423.434276608	46811.0
北京市昌平区中海瓦尔登湖	北京市	441173.75205746834	4440748.236150861	63498.0
北京市昌平区首钢一线材厂东宿舍	北京市	437840.1912549759	4441486.180041497	35018.0
北京市昌平区展思门南里6号院	北京市	437789.44301481143	4442575.6107794335	22175.0
北京市昌平区三水青清庄园二区	北京市	438186.2163029048	4443291.276661045	41925.0
北京市昌平区展思门南里6号院	北京市	437789.44301481143	4442575.6107794335	22175.0
北京市昌平区东环北里5号	北京市	438414.67429920705	4442760.9714791365	32569.0
北京市昌平区器件所宿舍	北京市	438092.41248096083	4442561.071024266	38524.0
北京市昌平区碧水庄园	北京市	439156.8002545043	4441046.294383531	84753.0
北京市昌平区石油宿舍	北京市	437608.26891043613	4442665.8916119775	30973.0
北京市昌平区北科建泰禾丽春湖院子	北京市	439926.6527647565	4443453.355474942	57681.0
北京市昌平区博达小区	北京市	437609.1331024014	4442636.13710874	26432.0
北京市昌平区中骏四季家园	北京市	441951.7468550488	4446526.420126858	33073.0
北京市昌平区北一街8号	北京市	437353.32570171164	4446155.183400139	36685.0
北京市昌平区北街家园一区	北京市	436984.5174720117	4446017.291195595	43527.0
北京市昌平区北街家园五区	北京市	437260.7139753341	4446360.375518005	41931.0
北京市昌平区冠芳园	北京市	440313.5493134088	4440430.6644620765	44526.0
