地址	城市	lat_transformed	lon_transformed	Price
杭州市上城区滨江新苑	杭州市	3346246.46689455	519096.94832059677	41822.0
杭州市上城区近江家园四园	杭州市	3345948.832296739	518687.6032226697	50015.0
杭州市上城区临江风帆公寓	杭州市	3346420.346710767	519116.22277479206	41874.0
杭州市上城区鸥江公寓	杭州市	3346559.473403834	518710.45193043427	42655.0
杭州市上城区富星苑	杭州市	3346705.0431698877	518779.6794532787	49541.0
杭州市上城区钱塘名都	杭州市	3346689.990447005	519069.3161309893	44968.0
杭州市上城区在水一方公寓	杭州市	3346352.959880287	519055.7416384689	45866.0
杭州市上城区钱江苑	杭州市	3346625.4857189143	518694.9893857128	46878.0
杭州市上城区滨江保利翡翠海岸	杭州市	3346729.1873276425	518339.82695431536	111327.0
杭州市上城区婺江家园三园	杭州市	3346987.730340322	518505.6686276671	45161.0
杭州市上城区新城坊	杭州市	3346498.1581500215	518893.73563984444	39477.0
杭州市上城区近江苑	杭州市	3346827.7816896685	518631.51260535565	41043.0
杭州市上城区南光坊	杭州市	3346526.4463534644	519026.09043946327	42713.0
杭州市上城区清江名潮院	杭州市	3347009.637975023	518649.43030815327	47679.0
杭州市上城区天福花园	杭州市	3346337.712711095	519293.2582820633	41996.0
杭州市上城区世纪坊	杭州市	3346046.1881379257	519264.16706205474	42697.0
杭州市上城区钱塘人家	杭州市	3346639.452871746	519103.66601225943	41517.0
杭州市上城区近江家园三园	杭州市	3346241.52289762	518794.5982870542	48848.0
杭州市上城区华龙家园	杭州市	3346657.2840951243	518847.0307863168	43600.0
杭州市上城区近江家园一园	杭州市	3345946.2861926155	519128.95477490727	50162.0
杭州市上城区望江家园东园	杭州市	3346147.8749726564	517998.46400174213	42430.0
杭州市上城区景江城市花园	杭州市	3346199.946317801	519492.4858473308	50998.0
杭州市上城区清江路272号	杭州市	3346935.193659586	518849.9097399309	41810.0
杭州市上城区婺江家园四园	杭州市	3346854.8505523712	518513.7204823931	48633.0
杭州市余杭区凤山新村	杭州市	3363874.2232698807	497631.8096619777	46607.0
杭州市余杭区凤凰新村	杭州市	3348762.9296708996	494878.07278354117	46789.0
杭州市余杭区凤凰山脚路	杭州市	3350736.0753720254	497509.15568241995	49423.0
杭州市余杭区梵天寺路64号	杭州市	3344493.8183029853	515738.110601503	52666.0
杭州市余杭区电厂二宿舍	杭州市	3350736.0753720254	497509.15568241995	31101.0
杭州市余杭区马尔山闸电宿舍	杭州市	3350736.0753720254	497509.15568241995	39165.0
杭州市余杭区玉皇山庄	杭州市	3350736.0753720254	497509.15568241995	75947.0
杭州市余杭区宋城路	杭州市	3350736.0753720254	497509.15568241995	45110.0
杭州市余杭区梵天寺路61号	杭州市	3344518.8356807325	515728.31931730936	45444.0
杭州市淳安区狮湖景苑	杭州市	3262650.7601756416	369865.927571616	5651.0
杭州市淳安区浅山花园	杭州市	3277480.7661844557	416129.6605788063	16345.0
杭州市淳安区金色阳光	杭州市	3278538.977222048	406602.3155128189	15320.0
杭州市淳安区天屿度假村	杭州市	3279471.7003391804	407811.90853882243	35625.0
杭州市淳安区翡翠岛别墅	杭州市	3275357.426871638	409234.7654313742	14515.0
杭州市淳安区九龙湾	杭州市	3280980.512249226	409449.1885015814	14487.0
杭州市淳安区千岛湖随园别墅	杭州市	3276620.983585424	417616.5295468694	17403.0
杭州市淳安区千岛湖开元度假村	杭州市	3278171.6809662785	406303.04219672194	29499.0
杭州市淳安区文渊狮城	杭州市	3277502.6629881086	406706.8960830532	16319.0
杭州市淳安区安阳天香华庭	杭州市	3256469.464206676	386043.008339137	7368.0
杭州市淳安区绿城养生堂千岛湖玫瑰园	杭州市	3274647.842264138	408061.4576147824	17338.0
杭州市淳安区千岛湖财富中心	杭州市	3275526.03100195	413208.9105736038	13815.0
杭州市淳安区悦湖湾花园	杭州市	3276795.014471458	416911.94046941644	14778.0
杭州市淳安区中梁千岛悦府	杭州市	3276803.4536489933	409424.12207581726	23750.0
杭州市淳安区千岛湖雅苑	杭州市	3276548.8388212407	413870.6056468314	13963.0
杭州市淳安区阳光水岸度假村	杭州市	3279184.399279595	406498.0116413404	14194.0
杭州市淳安区千岛湖雨润星雨华府	杭州市	3276708.66875991	413249.553701952	8980.0
杭州市淳安区招商近湖花苑	杭州市	3280218.663087354	407923.0240387466	15848.0
杭州市淳安区富力湖滨悦居	杭州市	3280282.604103945	408192.5788307441	14469.0
