lon	lat	Level1	Level2
3406978.931803423	325539.91077723255	4	10
3407303.107136586	326223.1536052393	2	3
3407179.983839784	326511.29202589503	2	3
3407514.521224309	326184.7763611617	2	3
3407569.8546669576	326469.3941694636	0	0
3407817.646936441	326439.8315050663	4	7
3407844.36627191	326662.340546843	0	0
3408037.434104305	326402.13574997813	4	6
3408055.903159519	326630.1233173321	4	6
3408015.611215334	327820.02748254756	2	3
3407531.319733083	327917.67297999724	0	0
3407331.927702026	329430.33890288364	0	0
3407577.031776939	329282.84870813566	0	0
3407603.673159586	329261.4531434476	0	0
3408526.842094922	326498.6107161334	4	7
3408347.148996117	326994.434056379	2	3
3408399.955367046	327821.3304488428	2	3
3410064.010831943	327052.60030879406	4	10
3409935.9215010684	326244.986068665	4	10
3409135.23248243	326787.25605466316	4	9
3409368.5014893035	326851.0139433989	4	9
3408848.2679910474	327434.3694300661	4	10
3408023.1115214503	328919.9902553824	2	3
3407880.9182657897	321869.33512423286	4	10
3411855.6561730844	324815.26266687084	4	10
3412669.41034177	323999.486586513	4	10
3411414.8871859196	325580.62709185685	4	7
3408140.4413139583	324822.6863316456	2	3
3407804.6523899822	322831.5363384128	2	3
3407806.9418357485	322771.888431763	2	3
3412838.085060789	323568.0901499564	4	10
3413002.4090258917	323218.26172759297	4	10
3412342.021255423	324867.7905639923	2	3
3412340.5639759866	325474.65474988753	0	0
3412351.2806621753	325784.11592926166	0	0
3412342.403529264	326224.02316939586	4	10
3412868.6875819685	324946.7334740729	2	3
3412830.2565206685	325621.3407205892	4	7
3412820.7347846907	326238.4374792106	2	3
3412360.4781977255	327537.7126478806	4	10
3412103.911361542	326369.17985035706	4	10
3410470.9918412887	326636.0965800463	4	7
3409524.3480167375	327358.8796928137	4	10
3412473.606106115	326999.44019552	2	3
3414583.6423976854	325612.2478969809	4	10
3413434.655025248	325703.66184796684	4	10
3414642.6303958693	327911.0685126245	2	3
3414014.842694628	326534.8962936391	4	10
3414242.923347414	328568.5816885044	4	10
3412743.6890908265	326973.6964977504	2	3
3417600.3981081513	324820.3639141155	4	10
3417558.188236566	324935.3509924705	4	10
3417695.150617716	324980.47330648307	4	10
3417696.900068056	325069.6664062789	4	10
3415716.2957372637	325166.38038057316	4	10
3417460.2205415843	325071.2837448245	4	10
3417566.5463973302	323571.40984389174	4	10
3413525.639604854	325327.3564433822	2	3
3413156.6196303912	323230.9171248518	2	3
3413001.9987530997	323494.04027752334	2	3
3413037.9801307493	323253.2752161986	2	3
3416096.4722100403	325708.443140113	4	10
3414805.758966663	325621.5570487537	4	10
3418645.7126242113	321149.631895507	4	10
3417850.343207914	321185.10235819954	0	0
3418669.670111154	322279.3743374039	0	0
3418176.022988691	324082.53304138174	4	7
3418481.160815368	323725.1257459414	2	3
3418979.5324495872	321995.2927066937	4	7
3416212.992123543	326445.2746915873	0	0
3414651.7551735295	327275.4646647266	3	5
3418482.7015228868	324238.7342529333	0	0
3419210.785684977	322419.6656835992	4	10
3418227.837626256	323807.01444969815	0	0
