lon	lat	Level1	Level2
4369150.370491123	443581.7567698066	4	10
4368882.137565661	442176.1985049408	4	10
4367330.334460726	445346.80268484633	4	10
4368024.213181732	445877.68984970526	4	10
4367308.335595695	445850.9679262159	3	5
4377967.82977414	445940.53630365664	4	10
4378482.336839247	447255.2188657502	4	10
4378354.315195107	446500.3196384371	4	10
4378574.528590368	446669.57338039717	4	10
4378635.564404809	446500.14426220686	4	7
4378689.430688058	446697.4869385219	0	0
4378617.868910806	446916.8921165657	4	10
4378733.514364512	446856.09494627884	4	10
4378775.43395192	446853.87033774494	4	10
4379010.784814938	446620.19692066516	4	10
4378485.450414636	447386.1490248683	4	10
4379121.634747301	446573.54676533287	4	10
4378498.861677831	446060.14920819143	4	10
4378677.753415891	447493.27305413113	4	10
4370010.118813145	447517.19742598623	4	7
4369847.145995876	448316.6616507125	3	5
4367361.788641342	449221.6851647411	4	10
4378454.87110751	448937.3623334352	4	10
4378435.080348028	450853.71348211606	4	10
4378700.1631761445	450205.2772994428	4	10
4378300.441141622	451110.90695395414	4	10
4378469.682723198	451605.73271329876	4	10
4378920.528535768	450180.70666064485	4	10
4378393.813014802	452053.545238516	4	10
4378622.475083204	452802.39948761574	4	10
4378371.532213752	452569.8489307318	4	10
4379109.434412971	450699.47844423784	4	10
4379013.406541356	451349.6162201684	4	10
4378863.181842125	452518.0827119376	4	10
4379117.637427817	452935.30494595226	4	10
4378618.759863129	453121.81520163163	4	7
4378930.596383237	453157.28415132704	4	7
4380906.693328487	449380.50349140813	4	10
4379648.25011163	449937.5612772464	4	10
4379590.22920779	450397.2086436598	4	10
4379040.458951992	449573.83191289287	4	10
4380052.867906635	450845.00258435035	4	10
4382387.05436825	449223.44734429545	4	7
4382752.371839066	449652.93115333474	4	10
4372573.772387559	446990.0914345562	4	10
4373806.741105056	447777.85612477275	4	10
4373345.698600355	447377.5510942184	4	10
4377211.539857082	449811.5772240405	4	10
4376750.500919006	450362.0943784082	4	10
4375936.703496232	449895.1643621969	4	10
4376371.6305653695	451745.7361369555	4	10
4376647.521446496	449273.3704754656	4	10
4373640.17735126	448218.21200756595	4	10
4372082.331796739	448098.6173807122	4	10
4388065.999650668	452231.359058474	4	10
4388316.746982492	452847.7038166665	4	10
4390191.333150485	453857.23087795865	4	10
4390267.751444561	453337.5967820304	4	10
4390157.05279995	454309.9672785185	4	10
4390651.376319065	454434.4815136	4	10
4379105.949624431	454479.33971588826	4	10
4379120.2941027	454690.5034334617	4	10
4379254.612387612	454684.08246922755	0	0
4379282.409176924	454494.64979374263	4	6
4379349.445291463	454681.85907690116	4	10
4379421.329510988	454665.9200658485	4	10
4379265.518566409	455021.0435635296	4	10
4379436.302360624	455031.7636442647	4	10
4378833.8789402405	455959.4581463091	4	10
