FID,gridcode,AREA,PERCENTAGE
37,43101,0.024208178357168,14.854241052098388
37,57814,0.096996109342222,59.517224634890631
38,26524,0.000930998956515,6.919166087142240
38,47032,0.012524364665581,93.080833926491849
39,42055,0.019212073478482,3.844188766763290
39,54905,0.293875562281619,58.802249357133675
39,57814,0.132171814888349,26.446567917075587
39,60046,0.008791454918167,1.759102799485767
39,83545,0.045718347293557,9.147891158011861
40,24905,0.000849669903932,63.994146805363442
40,30152,0.000478060751147,36.005853272223263
41,24905,0.000097818068827,100.000000003753200
42,9036,0.018344478457668,4.185823618227190
42,60046,0.263801433056779,60.193930918198092
42,77280,0.156029316034538,35.602603677195191
42,83545,0.000077315576458,0.017641786150699
43,77280,0.000929907998169,99.999999989425177
44,77280,0.000011150331643,100.000000076602390
45,77280,0.000019299305360,99.999999930407697
